,source,author,title,description,url,urlToImage,publishedAt,content
0,Financial Times,,Aberdeen warns of ‘dramatic’ undervaluations in China delistings,UK fund manager says Trump administration measures could hit $1tn in equity investments,https://www.ft.com/content/61ae716d-4a6d-4aa3-9435-1f9877ee0173,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F288e9dec-0003-492f-89b5-dc20cc830d21.jpg?source=next-opengraph&fit=scale-down&width=900,2020-08-14T15:52:24.4560284Z,One of the UK's biggest asset managers has warned that investors could get a raw deal if the US goes ahead with plans to force Chinese companies off American exchanges unless they submit to audit ins… [+4022 chars]
1,Buzzfeed,"[{""@type"":""Person"",""name"":""Shelby Heinrich"",""url"":""https://www.buzzfeed.com/shelbyheinrich"",""jobTitle"":""BuzzFeed Staff""}]",Can You Guess The Disney Movie By Its Very First Frame?,Let's start at the beginning.,https://www.buzzfeed.com/shelbyheinrich/disney-movies-first-frame,"https://img.buzzfeed.com/buzzfeed-static/static/2020-08/13/19/enhanced/fa4a86ed67a6/original-14777-1597347954-15.jpg?crop=1243:650;7,64%26downsize=1250:*",2020-08-14T15:52:20.5351297Z,Let's start at the beginning.
2,Financial Times,,Billionaire Packer’s gaming outfit in high-stakes skyscraper gamble,Critics say Crown Resorts’ luxury Sydney casino development risks becoming white elephant,https://www.ft.com/content/5aa1e2c8-f51a-4b39-8eaa-1266f5975b04,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F01dc19bb-5b7b-44fe-9b88-093ec36cb495.jpg?source=next-opengraph&fit=scale-down&width=900,2020-08-14T15:52:19.3010617Z,It will be one of Sydney’s tallest residential buildings with sweeping views of the world-famous harbour and opera house. It hosts a luxury hotel and a VIP casino — and the penthouse can be yours for… [+5552 chars]
3,Fox News,Fox News,"US seizure of Iran fuel bound for Venezuela was largest confiscation of its kind ever, DOJ confirms","The Justice Department (DOJ) on Friday announced the U.S. government’s “largest-ever” seizure of fuel shipments from Iran in a successful disruption of a multimillion-dollar shipment by the Islamic Revolutionary Guard Corps, a designated foreign terrorist org…",https://www.foxnews.com/politics/us-seizure-of-iran-fuel-bound-for-venezuela-was-largest-confiscation-of-its-kind-ever-doj-confirms,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/fc80dbbc-1e92-472c-8639-084114ebad3b/c0d714bf-1950-4475-9594-3fc5962a8ab3/1280x720/match/image.jpg,2020-08-14T15:52:18.8011864Z,The Justice Department (DOJ) on Friday announced the U.S. government’s “largest-ever” seizure of fuel shipments from Iran in a successful disruption of a multimillion-dollar shipment by the Islamic R… [+2643 chars]
4,Hacker News,,"I Love MDN, or the cult of the free in action",,https://www.quirksmode.org/blog/archives/2020/08/i_love_mdn_or_t.html,,2020-08-14T15:52:05.9606309Z,"Yesterday or so a new initiative I Love MDN was unveiled. People can show their appreciation for the MDN staff and volunteers by leaving a comment.
I have a difficult message about this initiative. … [+7909 chars]"
5,Business Insider,Graham Rapier,A five-person startup says Apple is 'bullying' it over its fruit-shaped logo - Business Insider,The startup says its fighting back on behalf of all small companies similarly strong-armed by the tech giant.,http://www.businessinsider.com/prepear-food-startup-says-apple-bullying-over-fruit-logo-2020-8,https://i.insider.com/5f36a7f3e89ebf001f04490a?width=1200&format=jpeg,2020-08-14T15:50:30Z,"Fruits can be confusing, if you ask Apple.
The tech giant is fighting a trademark filed by Prepear, a five-person food website, over its pear-shaped logo.
In a ""notice of opposition"" filed with the… [+3411 chars]"
6,Business Insider (UK),Graham Rapier,A five-person startup says Apple is 'bullying' it over its fruit-shaped logo - Business Insider,The startup says its fighting back on behalf of all small companies similarly strong-armed by the tech giant.,http://uk.businessinsider.com/prepear-food-startup-says-apple-bullying-over-fruit-logo-2020-8,https://i.insider.com/5f36a7f3e89ebf001f04490a?width=1200&format=jpeg,2020-08-14T15:50:30Z,"Fruits can be confusing, if you ask Apple.
The tech giant is fighting a trademark filed by Prepear, a five-person food website, over its pear-shaped logo.
In a ""notice of opposition"" filed with the… [+3411 chars]"
7,Ars Technica,Scott K. Johnson,Tesla research partnership progresses on new battery chemistry,"Lithium metal batteries could increase EV range, but longevity must improve.",https://arstechnica.com/science/2020/08/tesla-research-partnership-progresses-on-new-battery-chemistry/,https://cdn.arstechnica.net/wp-content/uploads/2020/08/lithium_battery_dahns_tesla_anode_free-5-760x380.jpg,2020-08-14T15:45:13+00:00,"Enlarge/ Here's what the lithium deposited at the anode looks like under a scanning electron microscope. Full charge in top row, depleted charge in bottom row.
1 with 1 posters participating
Electr… [+4981 chars]"
8,TalkSport,talkSPORT,Arsenal appear to troll their own fans with ‘big news’ at 14:14… but it had nothing to with Pierre-Emerick Aub,,https://talksport.com/football/745770/arsenal-fans-trolled-news-twitter-pierre-emerick-aubameyang-willian-contract-shirt-number/,https://talksport.com/wp-content/uploads/sites/5/2020/08/talksport-arsenal.jpg?strip=all&quality=100&w=1200&h=800&crop=1,2020-08-14T15:44:38Z,"Arsenal made a ‘big announcement’ on social media on Friday afternoon – but it wasn’t one which went down very well with supporters.
The Gunners teased their fan base that some big news would be rev… [+2913 chars]"
9,The Hill,Peter Sullivan,Obama blasts Trump decision-making on coronavirus | TheHill,Former President Barack Obama said in a podcast released Friday that President Trump made “terrib...,http://thehill.com/policy/healthcare/512030-obama-blasts-trump-decision-making-on-coronavirus,https://thehill.com/sites/default/files/obamabarack_trumpdonald_051820getty_split.jpg,2020-08-14T15:40:34Z,"Former President Barack ObamaBarack Hussein ObamaUS blocking private charter flights to CubaBiden, Harris to address Democratic convention from Chase Center in DelawareKamala Harris is now under the … [+2739 chars]"
10,CNN,,Keilar: Dr. Atlas wouldn't know science if it kicked him in the Atlas - CNN Video,"Months into the coronavirus pandemic, President Donald Trump announced Dr. Scott Atlas as a medical adviser for the White House coronavirus task force. CNN's Brianna Keilar breaks down Dr. Atlas's controversial stance on Covid-19.",http://us.cnn.com/videos/politics/2020/08/13/brianna-keilar-fact-check-trump-new-coronavirus-adviser-scott-atlas-crn-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200813142002-brianna-keilar-super-tease.jpg,2020-08-14T15:37:53.7866103Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
11,ABC News,LARRY NEUMEISTER Associated Press,R. Kelly's manager charged with phone threats to theater,,https://abcnews.go.com/Entertainment/wireStory/kellys-manager-charged-phone-threats-theater-72376305,https://s.abcnews.com/images/Entertainment/WireAP_733c38e9f3da430485dbbad7e8d41267_16x9_992.jpg,2020-08-14T15:37:52Z,"NEW YORK -- 
R. Kelly's manager has been arrested on charges that he threatened a shooting at a Manhattan theater two years ago, forcing an evacuation and the cancellation of the screening of a docu… [+2231 chars]"
12,BBC Sport,BBC Sport,ATP Finals to be without fans in November,The ATP Tour Finals will be played behind closed doors in November unless government guidelines change.,http://www.bbc.co.uk/sport/tennis/53784959,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/17A4C/production/_113944869_stefanostsitsipas.jpg,2020-08-14T15:37:48.2411159Z,"Stefanos Tsitsipas won last year's ATP Tour Finals
The ATP Tour Finals will be played behind closed doors in November. 
The season-ending tournament, which features the best eight singles players a… [+1257 chars]"
13,Financial Times,,‘Something is ending’: German towns braced for US military exit,The thought of troops leaving one of the largest overseas American bases in the world brings mixed feelings,https://www.ft.com/content/391f4df8-b3de-485c-94f4-dd4dd57d833b,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fec810d43-873d-4869-bc52-03571e628c37.jpg?source=next-opengraph&fit=scale-down&width=900,2020-08-14T15:37:37.2750946Z,"Nearly everyone in the Bavarian towns around the army base has a favourite childhood memory of the US soldiers.
One councillor in Vilseck recalls pilfering beers for cadets, in exchange for sugary A… [+5028 chars]"
